COG_category,description,n_host,n_free,median_host,median_free,diff_median,U_statistic,p_value,rank,p_adjusted,significant,rank_biserial,cliffs_delta,effect_size_abs,effect_size_class
S,Function unknown,1705,824,0.2214645019374087,-0.0840151593102152,0.305479661247624,1100287.0,3.254043975914742e-118,1,7.809705542195381e-117,True,-0.5663340261367196,-0.5663340261367196,0.5663340261367196,large
E,Amino acid metabolism,1705,824,-0.3672102440939816,-0.1134037861243955,-0.253806457969586,376841.0,7.853958491663925e-80,2,9.424750189996708e-79,True,0.463540984540045,0.463540984540045,0.463540984540045,medium
I,Lipid metabolism,1705,823,-0.3863520950286641,-0.1756580012507577,-0.2106940937779064,377398.0,2.779382875554124e-79,3,2.223506300443299e-78,True,0.46209525981406985,0.46209525981406985,0.46209525981406985,medium
J,"Translation, ribosomal",1705,824,-0.6667405681166932,-0.4492796722921373,-0.2174608958245559,409158.0,4.012488290072411e-65,4,2.4074929740434467e-64,True,0.41753551803661415,0.41753551803661415,0.41753551803661415,medium
P,Inorganic ion transport,1705,824,-0.2775320568043251,-0.0108418578215841,-0.2666901989827409,409633.0,6.430074066439249e-65,5,3.08643555189084e-64,True,0.416859322950773,0.416859322950773,0.416859322950773,medium
C,Energy production,1705,824,-0.4009091347025993,-0.1653720757018568,-0.2355370590007424,414976.0,1.228022894549972e-62,6,4.912091578199888e-62,True,0.409253195911511,0.409253195911511,0.409253195911511,medium
F,Nucleotide metabolism,1705,824,-0.5861545346346925,-0.3780897909927958,-0.2080647436418966,435450.0,2.777861695700812e-54,7,9.524097242402784e-54,True,0.3801070523588532,0.3801070523588532,0.3801070523588532,medium
K,Transcription,1705,824,0.2007331803321309,0.0346623797321731,0.1660708005999577,953136.0,4.6761347931489625e-48,8,1.4028404379446888e-47,True,-0.3568544828175271,-0.3568544828175271,0.3568544828175271,medium
Y,Nuclear structure,26,7,2.702416573335785,2.7434842249657065,-0.0410676516299215,59.0,0.1691202907832496,22,0.1844948626726359,False,0.3516483516483516,0.3516483516483516,0.3516483516483516,medium
H,Coenzyme metabolism,1705,824,-0.4503333566123033,-0.3052851039485297,-0.1450482526637735,475028.0,7.223561550402275e-40,9,1.926283080107273e-39,True,0.32376505423796376,0.32376505423796376,0.32376505423796376,small
O,Post-translational modification,1705,824,-0.3248622901524116,-0.2019142190972485,-0.122948071055163,490117.0,5.660836332539182e-35,10,1.3586007198094038e-34,True,0.3022848276058423,0.3022848276058423,0.3022848276058423,small
U,Intracellular trafficking,1705,824,0.2862998906551859,-0.0436363485516091,0.3299362392067951,911275.0,7.068609828703681e-34,11,1.5422421444444397e-33,True,-0.2972624775787944,-0.2972624775787944,0.2972624775787944,small
G,Carbohydrate metabolism,1705,824,-0.1578908683951342,-0.0195382544455893,-0.1383526139495449,526052.0,1.184087224585561e-24,12,2.3681744491711233e-24,True,0.2511288899012043,0.2511288899012043,0.2511288899012043,small
V,Defense mechanisms,1705,824,1.0884221928242777,0.7669882731365887,0.321433919687689,866892.0,1.2466798356822222e-21,13,2.30156277356718e-21,True,-0.23408023232639574,-0.23408023232639574,0.23408023232639574,small
A,RNA processing,1035,571,0.3881788006690683,2.7862914460852606,-2.3981126454161923,226619.0,9.799812974797638e-15,15,1.5679700759676223e-14,True,0.23308036582992797,0.23308036582992797,0.23308036582992797,small
W,Extracellular structures,524,225,4.24457470028096,3.51493848857645,0.7296362117045097,71475.0,3.9527713359849625e-06,17,5.580383062567006e-06,True,-0.21246819338422385,-0.21246819338422385,0.21246819338422385,small
L,"Replication, recombination, repair",1705,824,1.8626477203022709,1.592622660142801,0.2700250601594696,839516.0,1.6731320079357518e-15,14,2.868226299318432e-15,True,-0.19510861828431514,-0.19510861828431514,0.19510861828431514,small
M,Cell wall/membrane,1705,824,0.032985724942447,0.1118657465596984,-0.0788800216172514,598022.0,1.2933886999802583e-09,16,1.9400830499703877e-09,True,0.14867465763175125,0.14867465763175125,0.14867465763175125,small
Q,Secondary metabolites,1705,824,0.0253969328970704,0.0989534878229235,-0.0735565549258531,627356.0,1.2782301199902878e-05,18,1.704306826653717e-05,True,0.10691569626740316,0.10691569626740316,0.10691569626740316,negligible
B,Chromatin structure,977,692,-0.0922940924985975,-0.3304957759596961,0.2382016834610986,371869.0,0.000487926209509,21,0.0005576299537245,True,-0.10006744724028382,-0.10006744724028382,0.10006744724028382,negligible
D,Cell cycle control,1705,824,-0.0518454204446077,-0.1137917271056784,0.0619463066610707,767664.0,0.0001515160656551,19,0.0001913887145117,True,-0.09282236710987113,-0.09282236710987113,0.09282236710987113,negligible
T,Signal transduction,1705,824,-0.064011898785172,-0.0147496598088459,-0.049262238976326,638572.0,0.0002055412445645,20,0.0002466494934774,True,0.09094895082994048,0.09094895082994048,0.09094895082994048,negligible
N,Cell motility,1690,820,0.1512046295086823,0.1320287039000418,0.0191759256086405,703105.0,0.5490055633990749,23,0.5728753705033826,False,-0.014727954971857304,-0.014727954971857304,0.014727954971857304,negligible
Z,Cytoskeleton,815,436,1.1199605037490292,1.1415972982033007,-0.0216367944542714,175918.5,0.7736713466110101,24,0.77367134661101,False,0.00985816401193218,0.00985816401193218,0.00985816401193218,negligible
