COG_category,n_host,n_free,median_host_log2,median_free_log2,diff_median_log2,U,p_value,rank_biserial,p_bh,diff_orig,p_bh_orig,sign_preserved,both_sig
S,1705,824,0.28730643876989925,-0.12578933939569598,0.41309577816559523,1100276.0,3.302566123599668e-118,-0.5663183668821001,7.926158696639203e-117,0.305479661247624,7.809705542195381e-117,True,True
E,1705,824,-0.65141735544382,-0.17134840466559395,-0.480068950778226,376768.0,7.246629632438525e-80,0.4636449050479743,8.69595555892623e-79,-0.253806457969586,9.424750189996708e-79,True,True
I,1705,823,-0.678623347276888,-0.27421909419744983,-0.40440425307943817,379052.0,1.7047200086721234e-78,0.4597378163716893,1.3637760069376987e-77,-0.2106940937779064,2.223506300443299e-78,True,True
J,1705,824,-1.548838603723689,-0.8468410186516109,-0.7019975850720781,407419.0,7.092659435270376e-66,0.42001110383509377,4.2555956611622255e-65,-0.2174608958245559,2.4074929740434467e-64,True,True
P,1705,824,-0.45992918841674674,-0.015492658328212533,-0.44443653008853423,409679.0,6.7302615402171095e-65,0.4167938387950916,3.230525539304213e-64,-0.2666901989827409,3.08643555189084e-64,True,True
C,1705,824,-0.723407988272644,-0.25812597682222493,-0.46528201145041903,415859.0,2.8983674584769704e-62,0.4079961848361473,1.1593469833907882e-61,-0.2355370590007424,4.912091578199888e-62,True,True
F,1705,824,-1.2278148012056624,-0.6591663816759359,-0.5686484195297266,433131.0,3.374261024564954e-55,0.38340830794635994,1.1568894941365556e-54,-0.2080647436418966,9.524097242402784e-54,True,True
K,1705,824,0.261767484091667,0.048433268474770655,0.21333421561689636,953539.0,3.3186226683479773e-48,-0.3574281809640407,9.955868005043932e-48,0.1660708005999577,1.4028404379446888e-47,True,True
H,1705,824,-0.8407621401589951,-0.5158210286521339,-0.3249411115068612,475625.0,1.1447077335548907e-39,0.32291518378270645,3.052553956146375e-39,-0.1450482526637735,1.926283080107273e-39,True,True
O,1705,824,-0.5478286728937095,-0.31655264166386154,-0.23127603122984797,492289.0,2.6918651339055596e-34,0.29919283660279594,6.460476321373343e-34,-0.122948071055163,1.3586007198094038e-34,True,True
U,1705,824,0.3492534279951314,-0.06252362998209605,0.41177705797722747,911129.0,7.840036540226162e-34,-0.29705463656293607,1.710553426958435e-33,0.3299362392067951,1.5422421444444397e-33,True,True
G,1705,824,-0.24344071699196526,-0.02794133219105476,-0.2154993848009105,525586.0,8.944770765197517e-25,0.2517922728696296,1.7889541530395034e-24,-0.1383526139495449,2.3681744491711233e-24,True,True
V,1705,824,1.0217314358201541,0.786215307483429,0.23551612833672508,873801.0,2.385368649045043e-23,-0.24391566779603102,4.40375750592931e-23,0.321433919687689,2.30156277356718e-21,True,True
A,1035,571,0.13339394928181955,0.4419327263419037,-0.30853877706008415,222820.0,3.113107807952143e-16,0.2459368681100197,5.336756242203674e-16,-2.3981126454161923,1.5679700759676223e-14,True,True
L,1705,824,1.5020129665302036,1.3520556182397703,0.14995734829043328,841285.0,7.250126702890964e-16,-0.19762691114084796,1.1600202724625542e-15,0.2700250601594696,2.868226299318432e-15,True,True
M,1705,824,0.046281553386762694,0.15104527868343604,-0.10476372529667334,598085.0,1.323191044330251e-09,0.14858497280983973,1.9847865664953763e-09,-0.0788800216172514,1.9400830499703877e-09,True,True
W,524,225,0.5782919950131703,0.50179414097475,0.07649785403842035,71320.0,5.195107460534189e-06,-0.2098388464800678,7.334269356048267e-06,0.7296362117045097,5.580383062567006e-06,True,True
Q,1705,824,0.03335988260559671,0.12949439446362063,-0.09613451185802391,626108.0,9.151293866270118e-06,0.10869230988241319,1.2201725155026823e-05,-0.0735565549258531,1.704306826653717e-05,True,True
D,1705,824,-0.0723636307206681,-0.1624529634273405,0.0900893327066724,766766.0,0.00018667797255526156,-0.09154400250548078,0.00023580375480664617,0.0619463066610707,0.0001913887145117,True,True
T,1705,824,-0.09110023322402916,-0.021075082423577127,-0.07002515080045203,639114.0,0.00023267254349067863,0.0901773766477807,0.00027920705218881437,-0.049262238976326,0.0002466494934774,True,True
B,977,692,-0.04937356869732092,-0.26609794313095725,0.21672437443363632,365071.0,0.005328592184539465,-0.07995752007147039,0.006089819639473674,0.2382016834610986,0.0005576299537245,True,True
Z,815,436,0.20439992966331447,0.2607002191770798,-0.05630028951376534,167537.5,0.09610607734109913,0.057029886868914303,0.10484299346301723,-0.0216367944542714,0.77367134661101,True,False
Y,26,7,0.34501623295081074,0.3497597820556359,-0.004743549104825162,59.0,0.1691202907832496,0.3516483516483516,0.17647334690426045,-0.0410676516299215,0.1844948626726359,True,False
N,1690,820,0.18115695977719753,0.16058406615276383,0.020572893624433708,701211.0,0.6255304841592091,-0.011994515803146255,0.6255304841592091,0.0191759256086405,0.5728753705033826,True,False
