phylum,COG_category,n_host,n_free,median_host,median_free,diff_median,U,p_value,p_bh,sig_uncorrected,sig_bh
p__Pseudomonadota,P,511,348,-0.3565866816581782,-0.07506995420660359,-0.28151672745157463,43346.0,2.595192655668446e-37,2.854711921235291e-35,True,True
p__Pseudomonadota,J,511,348,-0.6935338999493148,-0.48941933924370395,-0.20411456070561085,46885.0,5.381079807075815e-32,2.9595938938916984e-30,True,True
p__Bacteroidota,E,236,80,-0.4624641927009483,-0.05824899519974755,-0.4042151975012007,1773.0,1.8740134122396678e-27,6.871382511545448e-26,True,True
p__Pseudomonadota,G,511,348,-0.2372730966270154,-0.07663538154583416,-0.16063771508118124,51365.0,7.135871289385413e-26,1.9623646045809885e-24,True,True
p__Pseudomonadota,C,511,348,-0.4095605128161111,-0.17640200212655835,-0.23315851068955276,51548.0,1.2277789252289528e-25,2.701113635503696e-24,True,True
p__Pseudomonadota,E,511,348,-0.3760104908478037,-0.1944388062729736,-0.18157168457483008,52097.0,6.15675748887559e-25,1.1287388729605248e-23,True,True
p__Pseudomonadota,L,511,348,2.9620288767176968,1.9511533863905663,1.0108754903271304,124276.0,3.9438988974695686e-23,6.197555410309321e-22,True,True
p__Pseudomonadota,I,511,348,-0.3164485388513761,-0.1666745031241177,-0.1497740357272584,53825.0,8.451405822642917e-23,1.162068300613401e-21,True,True
p__Bacteroidota,G,236,80,-0.22021012051225597,0.1492918330065173,-0.36950195351877324,2909.0,2.3062567273159983e-20,2.8187582222751087e-19,True,True
p__Bacteroidota,K,236,80,0.3963543047626099,0.06203798966821055,0.33431631509439935,15723.0,5.791993664280595e-19,6.371193030708655e-18,True,True
p__Actinomycetota,V,174,98,1.1830105154745227,0.4476859612636729,0.7353245542108499,13345.0,1.02348946363729e-14,1.02348946363729e-13,True,True
p__Pseudomonadota,M,511,348,-0.0185780040284045,0.13359269498080595,-0.15217069900921046,61592.0,1.959633671070098e-14,1.7963308651475898e-13,True,True
p__Bacteroidota,I,236,80,-0.48085294497337994,-0.23791092160607774,-0.2429420233673022,4064.0,2.706166415748754e-14,2.2898331210181764e-13,True,True
p__Actinomycetota,J,174,98,-0.6481812287087025,-0.30389752428898104,-0.3442837044197215,3794.0,3.039621706538591e-14,2.3882741979946074e-13,True,True
p__Bacteroidota,C,236,80,-0.4368285779582052,-0.15594367259076108,-0.2808849053674441,4232.0,1.6587583825981362e-13,1.2164228139052999e-12,True,True
p__Bacteroidota,J,236,80,-0.5544959548866693,-0.33435121309750776,-0.2201447417891615,4700.0,1.931869264433033e-11,1.3281601192977103e-10,True,True
p__Actinomycetota,C,174,98,-0.231172987452479,0.03603083116534685,-0.26720381861782583,4421.0,4.399847028830449e-11,2.8469598421844084e-10,True,True
p__Actinomycetota,E,174,98,-0.28565126865004214,-0.06556535719215126,-0.2200859114578909,4427.0,4.694577315858697e-11,2.8689083596914257e-10,True,True
p__Bacillota,L,264,50,1.7043101732737242,2.560778539579922,-0.8564683663061978,2977.0,7.555752838137363e-10,4.3743832220795265e-09,True,True
p__Actinomycetota,P,174,98,-0.1668777028683039,0.0743135929449209,-0.2411912958132248,4857.0,3.8635836388837095e-09,2.1249710013860402e-08,True,True
p__Actinomycetota,K,174,98,0.10319973094772,-0.0349583805046843,0.1381581114524043,11948.0,3.9435433116823364e-08,1.9949624304854442e-07,True,True
p__Pseudomonadota,V,511,348,1.060335416201038,0.8245475175227994,0.23578789867823868,108518.0,3.9899248609708886e-08,1.9949624304854442e-07,True,True
p__Actinomycetota,I,174,98,-0.2554976004817276,-0.0938867870517699,-0.1616108134299577,5510.0,1.2885519859578982e-06,6.1626399328421215e-06,True,True
p__Bacteroidota,M,236,80,-0.12580572990155786,0.0129777342784349,-0.13878346417999277,6090.0,2.107256095458803e-06,9.658257104186178e-06,True,True
p__Bacteroidota,P,236,80,0.02017972581445275,0.20957166589674706,-0.18939194008229432,6573.0,4.929733495428304e-05,0.0002169082737988454,True,True
p__Verrucomicrobiota,P,9,16,-0.2923533263904611,0.24033006698033776,-0.5326833933707988,4.0,0.00013267739114467003,0.000561327424073604,True,True
p__Actinomycetota,L,174,98,1.493992714917002,1.1189728833542967,0.37501983156270535,10849.0,0.0001923395710569938,0.0007836056598618267,True,True
p__Verrucomicrobiota,C,9,16,-0.4058483041046093,0.0955259788082596,-0.5013742829128689,8.0,0.00032441701720349755,0.0012305473066339563,True,True
p__Verrucomicrobiota,J,9,16,-0.6269246217862934,-0.2866660733402554,-0.340258548446038,8.0,0.00032441701720349755,0.0012305473066339563,True,True
p__Verrucomicrobiota,E,9,16,-0.3183974148335782,0.07480165438651501,-0.3931990692200932,10.0,0.0004981450373393515,0.0018265318035776221,True,True
p__Cyanobacteriota,K,10,39,0.7168013802140552,0.0044596925200845,0.7123416876939707,329.0,0.0009272184381744128,0.003187313381224544,True,True
p__Bacteroidota,L,236,80,1.6071709422183846,1.2202755546503032,0.3868953875680814,11780.0,0.0009239766929556535,0.003187313381224544,True,True
p__Verrucomicrobiota,I,9,16,-0.4431073553903782,-0.1354718401521238,-0.3076355152382544,14.0,0.0011327405203389361,0.0037758017344631206,True,True
p__Pseudomonadota,T,511,348,-0.1205445430367138,-0.06965361535197956,-0.050890927684734244,77635.0,0.0015814149204090172,0.005116342389558585,True,True
p__Bacillota,I,264,50,-0.4706134073890531,-0.39382637117748787,-0.07678703621156524,4771.0,0.0018944464758962225,0.005953974638530985,True,True
p__Bacteroidota,V,236,80,1.1754457566752183,0.844694746319788,0.3307510103554303,11589.0,0.0023481429417703554,0.007174881210964974,True,True
p__Actinomycetota,M,174,98,0.2096621405773244,0.02044438525307385,0.18921775532425056,10207.0,0.00697337396343865,0.020731652323736527,True,True
p__Desulfobacterota,E,6,9,-0.41147739136183875,-0.125551513168612,-0.2859258781932268,6.0,0.011988011988011988,0.0338123415046492,True,True
p__Desulfobacterota,K,6,9,0.47767690207591706,-0.0140024455271112,0.4916793476030283,48.0,0.011988011988011988,0.0338123415046492,True,True
p__Cyanobacteriota,G,10,39,-0.4338292432919958,-0.1337924821299126,-0.3000367611620832,95.0,0.013575982183303166,0.03733395100408371,True,True
p__Campylobacterota,E,45,8,-0.4068202219267468,-0.1540520776469258,-0.25276814427982097,83.0,0.014396255287196692,0.03770447813313419,True,True
p__Bacillota_A,J,356,5,-0.56799848853559,-0.7712014422287379,0.2032029536931479,1441.0,0.01405634428343115,0.03770447813313419,True,True
p__Desulfobacterota,T,6,9,-0.1525252344871226,0.3516851486084998,-0.5042103830956224,8.0,0.025574425574425574,0.06542294914387937,True,False
p__Verrucomicrobiota,L,9,16,1.641270548716678,0.9413939055930517,0.6998766431236264,111.0,0.029284655045161194,0.07321163761290299,True,False
p__Actinomycetota,T,174,98,-0.10520876967887774,-0.05195136368231755,-0.05325740599656019,7194.0,0.03253468348884946,0.07952922630607646,True,False
p__Bacillota,T,264,50,-0.11780264050461764,-0.21046411368559897,0.09266147318098134,7811.0,0.03974143210590608,0.09503385938368845,True,False
p__Bacillota,V,264,50,1.2109872808309472,0.9461865251235952,0.26480075570735195,7757.0,0.049450136977122604,0.11573436313794652,True,False
p__Cyanobacteriota,I,10,39,-0.4407512332280053,-0.2761515998336746,-0.1645996333943307,117.0,0.05453804833452881,0.12498302743329519,False,False
p__Spirochaetota,M,28,6,-0.0543184552367354,0.36528172288446714,-0.41960017812120254,42.0,0.059558154336666405,0.13370197912312864,False,False
p__Campylobacterota,I,45,8,-0.3456496640938008,-0.18840291660887296,-0.15724674748492787,106.0,0.06720323797186693,0.1416641475614558,False,False
p__Verrucomicrobiota,G,9,16,-0.2498566544086995,-0.04259687395051465,-0.20725978045818486,39.0,0.06577555183717868,0.1416641475614558,False,False
p__Verrucomicrobiota,T,9,16,-0.0741051320855074,0.2121985350909461,-0.2863036671764535,39.0,0.06577555183717868,0.1416641475614558,False,False
p__Cyanobacteriota,P,10,39,-0.41082648273393696,-0.2327011846391345,-0.17812529809480246,121.0,0.06825636200688324,0.1416641475614558,False,False
p__Verrucomicrobiota,K,9,16,-0.0051921530160723,-0.09668391793827985,0.09149176492220755,103.0,0.08421751691148897,0.1696549064970118,False,False
p__Desulfobacterota,P,6,9,-0.28364540026116725,0.1633133002351711,-0.44695870049633835,12.0,0.08791208791208792,0.1696549064970118,False,False
p__Desulfobacterota,J,6,9,-0.5963314995304632,-0.3897676862553452,-0.20656381327511797,12.0,0.08791208791208792,0.1696549064970118,False,False
p__Desulfobacterota,L,6,9,2.322478844095721,1.189467302148873,1.133011541946848,42.0,0.08791208791208792,0.1696549064970118,False,False
p__Bacillota,M,264,50,0.4361339960816445,0.6343553474751944,-0.1982213513935499,5607.0,0.09177985399200234,0.17406524032965962,False,False
p__Bacteroidota,T,236,80,0.0552943493947211,0.1172679901795968,-0.061973640784875696,8276.0,0.09945456728347354,0.18542376951156084,False,False
p__Campylobacterota,V,45,8,4.371419093501303,2.661425394670338,1.709993698830965,246.0,0.1045250978619289,0.191629346080203,False,False
p__Campylobacterota,T,45,8,0.2761343564015339,0.455615036835726,-0.17948068043419213,116.0,0.1159456266217076,0.2090822775145547,False,False
p__Pseudomonadota,K,511,348,0.0626876751924443,0.053353406483393845,0.00933426870905045,94423.0,0.12282323053969492,0.21791218321558775,False,False
p__Spirochaetota,T,28,6,-0.2979556112160333,-0.05627869770675316,-0.24167691350928017,50.0,0.13282732447817835,0.23192072527935903,False,False
p__Spirochaetota,V,28,6,1.5148892209769924,1.0811822914722644,0.433706929504728,117.0,0.145280257921755,0.2497004433030164,False,False
p__Cyanobacteriota,M,10,39,-0.01726543980633275,0.0493052232046404,-0.06657066301097314,137.0,0.1537530730181412,0.2601975081845466,False,False
p__Bacillota_A,E,356,5,-0.38873350038328985,-0.5369612795955694,0.14822777921227953,1214.0,0.1677204962881557,0.2753620088313004,False,False
p__Bacillota_A,L,356,5,1.709192081938521,2.4742856948001424,-0.7650936128616215,565.0,0.16635668827454922,0.2753620088313004,False,False
p__Bacillota,G,264,50,0.006253735177480801,0.08343375966043995,-0.07718002448295914,5797.0,0.17278601716839426,0.2795067924782848,False,False
p__Campylobacterota,L,45,8,1.620392505540702,1.3017694373482764,0.3186230681924256,235.0,0.17917715997596406,0.28564474778776877,False,False
p__Cyanobacteriota,V,10,39,2.4370514259601164,1.4891355964621844,0.947915829497932,249.0,0.18445190479559903,0.28985299325022706,False,False
p__Campylobacterota,G,45,8,-0.1231230647495695,0.08458004830294065,-0.20770311305251016,127.0,0.1960554683293628,0.30374790867929446,False,False
p__Verrucomicrobiota,M,9,16,-0.1309705176915236,-0.018262593803474003,-0.1127079238880496,49.0,0.20273017064652255,0.3097266495988539,False,False
p__Bacillota,K,264,50,0.21310044791139504,0.16712867222086442,0.045971775690530625,7345.0,0.20595219399933906,0.31033892246475747,False,False
p__Bacillota_A,I,356,5,-0.44906598915201623,-0.5124370933916789,0.06337110423966263,1151.0,0.26991940173803924,0.39912087912087907,False,False
p__Desulfobacterota,M,6,9,0.05358067681588995,-0.0600302125864287,0.11361088940231864,37.0,0.2721278721278721,0.39912087912087907,False,False
p__Bacillota,P,264,50,-0.3263279175858962,-0.282525309831938,-0.04380260775395817,6011.0,0.3174276807833091,0.45346811540472726,False,False
p__Cyanobacteriota,L,10,39,1.9505247718156293,1.7117698108140196,0.23875496100160976,236.0,0.3150503112555564,0.45346811540472726,False,False
p__Campylobacterota,M,45,8,0.2266502036431128,0.36570445013749453,-0.13905424649438172,141.0,0.34552758780151305,0.4872824956175184,False,False
p__Cyanobacteriota,T,10,39,0.0322582406088785,0.1138159953146445,-0.081557754705766,158.0,0.3652251506659211,0.5052686478444413,False,False
p__Bacillota,J,264,50,-0.7836871301033983,-0.7502503881595168,-0.033436741943881465,6069.0,0.36746810752323,0.5052686478444413,False,False
p__Desulfobacterota,G,6,9,-0.0274183762482732,0.1037324192800969,-0.13115079552837008,19.0,0.38841158841158835,0.5274725274725274,False,False
p__Bacillota_A,T,356,5,0.0118148969560718,-0.023990555544787,0.0358054525008588,1089.0,0.4028946292042194,0.5404684050300504,False,False
p__Spirochaetota,K,28,6,0.22533867175069155,0.14059687049553427,0.08474180125515729,103.0,0.4130911946131472,0.5409527548505499,False,False
p__Spirochaetota,L,28,6,1.4259529113989355,1.669200671862142,-0.2432477604632064,65.0,0.4130911946131472,0.5409527548505499,False,False
p__Desulfobacterota,C,6,9,-0.4139895232274692,-0.3419514259474193,-0.0720380972800499,20.0,0.45594405594405585,0.569479886875032,False,False
p__Verrucomicrobiota,V,9,16,1.0301352310859688,0.42160501964591857,0.6085302114400503,86.0,0.4446962318497091,0.569479886875032,False,False
p__Desulfobacterota,I,6,9,-0.18144600605830702,-0.0495275008508038,-0.13191850520750323,20.0,0.45594405594405585,0.569479886875032,False,False
p__Spirochaetota,P,28,6,-0.2550691157047744,-0.19340249834719947,-0.06166661735757495,67.0,0.4659380892613898,0.569479886875032,False,False
