genus,n_species,rho,p_value,significant
g__Acinetobacter,34,0.06631522671963043,0.7094253265477868,False
g__Aeromonas,11,-0.3454545454545455,0.2980892209030385,False
g__Agrobacterium,11,-0.10000000000000002,0.7698749998921367,False
g__Bacillus,14,-0.0989010989010989,0.7365853699253173,False
g__Bacillus_A,18,-0.10629514963880288,0.6746395315456968,False
g__Bacteroides,22,0.33370976849237727,0.12907336510697268,False
g__Bifidobacterium,22,-0.21400338791643145,0.3389131793807724,False
g__Blautia_A,12,-0.6153846153846154,0.033169901090105904,True
g__Bradyrhizobium,11,0.09090909090909091,0.7903727377532903,False
g__Burkholderia,30,0.09101023812321982,0.6324388647855431,False
g__Campylobacter_D,13,0.12637362637362637,0.6807854750709491,False
g__Chlorobium,11,-0.5454545454545455,0.08265095734417503,False
g__Clostridium,14,-0.04175824175824176,0.8872869731890637,False
g__Collinsella,15,-0.25,0.3688462917839305,False
g__Corynebacterium,29,-0.07931034482758618,0.6825707765552341,False
g__Cryptobacteroides,28,-0.030103995621236997,0.8791341715501779,False
g__Enterobacter,16,0.14411764705882352,0.5943782881736934,False
g__Klebsiella,11,-0.2896743086191728,0.3875694836354497,False
g__Lactobacillus,20,-0.025563909774436087,0.9148041683144317,False
g__Listeria,10,0.42073952899018185,0.2259819755393893,False
g__Mesorhizobium,21,-0.3044898448149323,0.17958485593678206,False
g__Mycobacterium,19,-0.45614035087719296,0.0496553958795698,True
g__Neisseria,11,0.10909090909090911,0.7495085962341481,False
g__PALSA-747,11,-0.39090909090909093,0.23454006709519437,False
g__Pantoea,15,-0.1464285714285714,0.602549920983054,False
g__Phocaeicola,10,0.32121212121212117,0.36546831043867045,False
g__Prevotella,64,0.04638278388278388,0.7158991461756267,False
g__Pseudoalteromonas,15,0.09285714285714285,0.7420450099073672,False
g__Pseudomonas_E,102,-0.2996355122954368,0.002217110715078137,True
g__Rhizobium,26,-0.2038449664418435,0.31787770488068307,False
g__Rhodococcus,15,-0.2821428571428571,0.30828445682005545,False
g__Staphylococcus,38,0.10187667575570492,0.5427775698193635,False
g__Stenotrophomonas,16,0.10882352941176471,0.6882882939574141,False
g__Streptococcus,53,-0.08853767696588388,0.528410549827525,False
g__Streptomyces,42,-0.11215559194038834,0.47947208391073864,False
g__Stutzerimonas,12,0.16783216783216784,0.6020994277865379,False
g__Vescimonas,11,0.07272727272727274,0.831716405381337,False
g__Vibrio,33,0.09359070810649005,0.6044256716400789,False
g__Xanthomonas,15,-0.6071428571428571,0.01638130676830708,True
g__Yersinia,12,0.2101579405015039,0.512085328993753,False
