family	n_host	n_free	median_host_per_mb	median_free_per_mb	p_raw	r_rb	p_bh	sig_bh_005
RelBE	1660	743	0.6812708653225859	0.0	3.3791991996245504e-60	-0.4077072759409104	3.3791991996245503e-59	True
Zeta-Epsilon	1660	743	0.0	0.0	2.2303817036631947e-14	-0.17850135400282152	7.434605678877316e-14	True
HipBA	1660	743	0.5503958139034792	0.3089351776763441	5.5454078403332135e-08	-0.13545865832103643	1.3863519600833032e-07	True
YoeB-YefM	1660	743	0.8311080113772334	0.647824056168937	0.00015855218527798	-0.09583583323874234	0.0002642536421299667	True
MazEF	1660	743	1.1185696300979713	0.8828998197118568	0.0006456774902070349	-0.08672428610809324	0.0008070968627587935	True
HicAB	1660	743	0.0	0.0	0.0013308240227616365	-0.0739447696573643	0.0014786933586240405	True
ParDE	1660	743	1.0162340082212467	0.8281518631760617	0.03671198057620881	-0.05297475230666948	0.03671198057620881	True
CcdAB	1660	743	0.0	0.0	4.9675970771691645e-05	0.06567805542492988	9.935194154338329e-05	True
HigBA	1660	743	0.0	0.0	0.0002359734476791062	0.07443529163761375	0.00033710492525586603	True
VapBC	1660	743	0.3909684727295387	0.9443561733743498	7.773788651292985e-37	0.3182182295805024	3.886894325646492e-36	True
