phylum	n_species	n_host	n_free	H1_delta_med	H1_p_greater	H1_direction	H2_r_rb	H2_p	H2_direction	H2_med_host	H2_med_free
p__Pseudomonadota	811	498	313	0.163255894390961	5.1169812642055945e-87	+	-0.03853112129027281	0.3552239811660276	+	6.9534951067914	6.582674663592411
p__Bacillota_A	361	356	5	0.0709003215434083	8.348526627166251e-22	+	-0.4943820224719102	0.056182461321565326	+	9.098199080341999	3.338965054391741
p__Bacteroidota	300	233	67	0.1354355690546849	4.9953459380369145e-36	+	0.07565178399846262	0.3457560561000922	-	4.972168288007876	4.987626529850529
p__Bacillota	298	248	50	0.07559148104886676	2.5751367490414213e-12	+	-0.5075806451612903	1.5073635629805332e-08	+	7.1373931255908225	2.8247001386555644
p__Actinomycetota	264	172	92	0.07726678679256443	4.6022203173668926e-10	+	-0.22421638018200207	0.0026986031214624204	+	4.797496343808257	3.102159787739606
p__Campylobacterota	53	45	8	0.1633329878743911	5.565111942990185e-08	+	-0.061111111111111116	0.798022359147268	+	6.135302293423192	5.514293473975949
p__Cyanobacteriota	43	10	33	0.145247419010324	3.220326334485435e-07	+	0.5818181818181818	0.006043129553501018	-	4.415808676910226	25.34890435916659
p__Bacillota_C	30	30	0	0.11713503278167653	0.00019004661589860916	+			n<5	6.962081417555746	
p__Spirochaetota	29	23	6	0.10953505166092659	0.00040449202060699463	+	-0.05797101449275366	0.854414550966275	+	10.459756088449689	10.306166955833113
p__Verrucomicrobiota	25	9	16	0.05660074289729955	0.36549460887908936	+	-0.5	0.04445323585465808	+	4.65640498483675	2.712944318596647
p__Patescibacteria	24	0	24	-0.16315331987438314	0.9463087320327759	-			n<5		2.8175113900608157
