family	toxin_pfam_name	antitoxin_pfam_name	notes
RelBE	RelE	RelB	Ribonuclease; ribosome-dependent mRNA cleavage
MazEF	PemK_toxin	MazE_antitoxin	Endoribonuclease; ACA-site cleavage. PemK_toxin is the MazF Pfam name in eggNOG.
ParDE	ParE_toxin	ParD_antitoxin	Gyrase inhibitor; plasmid maintenance
YoeB-YefM	RelE	PhdYeFM_antitox	YoeB uses the RelE-family toxin domain; antitoxin covers YefM + Phd
CcdAB	CcdB	CcdA	F-plasmid classic; gyrase poison
HipBA	HipA_C	HigA	Serine/threonine kinase; persister formation. HigA-side antitoxin uncertain in eggNOG naming.
VapBC	PIN	VapB_antitoxin	VapC is PIN-domain nuclease. PIN is used by MANY non-TA proteins; only count if co-occurring with VapB_antitoxin.
HicAB	HicA	HicB	Ribonuclease; HicA Pfam name is 'HicA' in TADB but hits 0 in eggNOG — see NB01 audit
HigBA	HigB_toxin	HigA	Stress response; ribonuclease
Zeta-Epsilon	Zeta_toxin	VapB_antitoxin	Zeta phosphotransferase; epsilon antitoxin often shares VapB fold
