pfam_name	n_annotations	side	family
PIN	99214	toxin	VapBC
ParE_toxin	61635	toxin	ParDE
PhdYeFM_antitox	57998	antitoxin	YoeB-YefM
MazE_antitoxin	43442	antitoxin	MazEF
PemK_toxin	34474	toxin	MazEF
HipA_C	30866	toxin	HipBA
RelB	20524	antitoxin	RelBE
HicB	12207	antitoxin	HicAB
ParD_antitoxin	10957	antitoxin	ParDE
Zeta_toxin	10161	toxin	Zeta-Epsilon
RelE	8468	toxin	RelBE
HigB_toxin	6613	toxin	HigBA
VapB_antitoxin	5982	antitoxin	VapBC
CcdA	3439	antitoxin	CcdAB
CcdB	2706	toxin	CcdAB
HicA	0	toxin	HicAB
HigA	0	antitoxin	HipBA
