gtdb_species_clade_id	ta_core	ta_accessory	ta_singleton	ta_total	median_size_mb	n_genomes_seen	ta_per_mb
s__0-14-0-80-60-11_sp018897875--GB_GCA_018897875.1	24	5	5	34	4.009362	3.0	8.480152203767082
s__0-14-3-00-41-53_sp002780895--GB_GCA_002780895.1	24	24	18	66	1.986433	7.0	33.22538439504378
s__01-FULL-36-15b_sp001782035--GB_GCA_001782035.1	1	0	0	1	0.725899	2.0	1.377602118201017
s__01-FULL-44-24b_sp001793235--GB_GCA_001793235.1	25	0	1	26	0.898253	2.0	28.945074494602302
s__01-FULL-45-10b_sp001804205--GB_GCA_001804205.1	5	0	3	8	1.790555	2.0	4.467888447995175
s__01-FULL-45-34b_sp001822675--GB_GCA_001822675.1	5	3	0	8	0.777556	3.0	10.288648020206905
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	2	3	3	8	0.840026	6.0	9.523514748353026
s__02-FULL-45-11b_sp001817615--GB_GCA_001817615.1	1	0	0	1	0.984154	3.0	1.016101138642936
s__1-14-0-10-31-34_sp018829335--GB_GCA_018829335.1	23	0	6	29	1.298137	2.0	22.339706826012968
s__1-14-0-10-32-24_sp018655525--GB_GCA_018655525.1	3	0	0	3	0.95597	4.0	3.1381737920646047
s__1-14-0-10-37-14_sp002778705--GB_GCA_002778705.1	1	0	1	2	0.910378	2.0	2.196889643642531
s__1-14-0-10-45-20_sp007378985--GB_GCA_007378985.1	0	0	2	2	0.727695	3.0	2.7484042078068422
s__1-14-0-20-42-23_sp002796345--GB_GCA_002796345.1	1	0	0	1	2.030078	3.0	0.49259191026157617
s__1-14-0-20-46-22_sp002796245--GB_GCA_002796245.1	4	0	0	4	2.05711	2.0	1.9444755020392686
s__1-14-2-50-31-20_sp018818165--GB_GCA_018818165.1	30	1	2	33	4.876841	3.0	6.766675394994424
s__1109_sp001028815--GB_GCA_001028815.1	4	0	0	4	2.428381	2.0	1.6471879824459177
s__12-FULL-44-12b_sp001823695--GB_GCA_001823695.1	1	0	0	1	0.603298	2.0	1.6575556358549175
s__12-FULL-67-14b_sp002737365--GB_GCA_002737365.1	10	33	11	54	3.08807	7.0	17.486650237850824
s__13-1-40CM-70-15_sp003223415--GB_GCA_003223415.1	0	0	2	2	1.568343	2.0	1.2752312472462974
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	3	80	70	153	3.135672	19.0	48.793368694174646
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1	4	0	14	18	3.240583	2.0	5.554556078335287
s__13-2-20CM-66-19_sp005877705--GB_GCA_005877705.1	3	0	15	18	3.065452	2.0	5.871890996825264
s__13-2-20CM-66-19_sp005878095--GB_GCA_005878095.1	32	0	8	40	3.426508	2.0	11.673692283806137
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	28	51	26	105	3.960228	6.0	26.51362497310761
s__13-2-20CM-66-19_sp019247195--GB_GCA_019247195.1	0	0	2	2	2.959604	2.0	0.6757660822191076
s__13-2-20CM-66-19_sp021790795--GB_GCA_021790795.1	2	0	34	36	2.810878	2.0	12.80738616190386
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1	7	3	43	53	4.685882	3.0	11.310570774082658
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1	10	0	44	54	5.111275	2.0	10.564878626174487
s__13-2-20CM-66-19_sp021808195--GB_GCA_021808195.1	5	0	42	47	4.004006	2.0	11.738244148485292
s__13-2-20CM-66-19_sp021838065--GB_GCA_021838065.1	2	0	7	9	1.987865	2.0	4.527470426814698
s__13-2-20CM-66-19_sp021843755--GB_GCA_021843755.1	33	0	8	41	3.282697	2.0	12.489730243150676
s__13-2-20CM-66-19_sp021845825--GB_GCA_021845825.1	1	0	36	37	2.878861	2.0	12.852305130397056
s__13-2-20CM-66-19_sp021851405--GB_GCA_021851405.1	1	0	44	45	3.276192	2.0	13.735458727693615
s__13-2-20CM-68-14_sp005884005--GB_GCA_005884005.1	2	0	0	2	1.918848	2.0	1.0422920418918016
s__13-2-20CM-68-14_sp005888315--GB_GCA_005888315.1	1	1	0	2	2.288698	3.0	0.873859285934623
s__14-2_sp000403255--GB_GCA_000403255.2	18	0	15	33	3.303753	2.0	9.988640191927182
s__14-2_sp000403315--GB_GCA_000403315.2	6	8	10	24	3.29687	5.0	7.279631893280596
s__14-2_sp009774455--GB_GCA_910585295.1	3	3	7	13	3.397822	3.0	3.825980289726772
s__14-2_sp011960065--GB_GCA_910575555.1	6	17	10	33	5.623806	10.0	5.867912228835774
s__14-2_sp012519695--GB_GCA_012519695.1	4	4	8	16	2.973566	4.0	5.380744869964212
s__14-2_sp910575005--GB_GCA_910575005.1	4	8	2	14	4.292235	5.0	3.261703984054927
s__14-2_sp910575035--GB_GCA_910575035.1	13	5	1	19	5.703041	3.0	3.331555919026358
s__14-2_sp910575075--GB_GCA_910575075.1	10	3	4	17	4.097034	5.0	4.149343158977934
s__14-2_sp910575155--GB_GCA_910575155.1	10	0	14	24	2.828959	2.0	8.483686048472247
s__14-2_sp910576385--GB_GCA_910576385.1	10	0	6	16	3.166085	2.0	5.053559838096577
s__14-2_sp910577785--GB_GCA_910577785.1	6	7	14	27	3.566184	3.0	7.571118035412643
s__14-2_sp910580015--GB_GCA_910580015.1	6	0	14	20	2.798146	2.0	7.147589868434313
s__14-2_sp910585625--GB_GCA_910585625.1	3	0	3	6	3.343357	2.0	1.7946034479716044
s__14-2_sp910588285--GB_GCA_910588285.1	11	9	13	33	3.688046	3.0	8.947827657247226
s__14-2_sp910588845--GB_GCA_910588845.1	6	0	2	8	3.299434	2.0	2.4246582898763847
s__14-2_sp910588965--GB_GCA_910588965.1	7	0	5	12	3.346456	2.0	3.5858830954299115
s__16-39-46_sp002257235--GB_GCA_002257235.1	33	0	0	33	1.885776	2.0	17.49942729147046
s__1XD42-69_sp003612565--RS_GCF_003612565.1	4	1	25	30	3.103574	3.0	9.666275075123067
s__1XD42-69_sp009911505--GB_GCA_009911505.1	2	6	13	21	3.061834	4.0	6.8586344001666975
s__1XD42-69_sp011959925--GB_GCA_011959925.1	1	5	13	19	2.818996	4.0	6.739988279515119
s__1XD42-69_sp014287635--RS_GCF_014287635.1	1	0	12	13	2.655157	2.0	4.8961323191058
s__1XD42-69_sp910586725--GB_GCA_910586725.1	5	0	6	11	2.781075	2.0	3.9553050529022054
s__1XD42-69_sp910588565--GB_GCA_910588565.1	9	0	4	13	3.239561	2.0	4.012889400755226
s__1XD42-69_sp910589105--GB_GCA_910589105.1	3	0	3	6	2.725498	2.0	2.201432545538467
s__1XD8-76_sp910573755--GB_GCA_910573755.1	7	8	0	15	4.863903	7.0	3.083943080279356
s__1XD8-76_sp910578085--GB_GCA_910578085.1	4	4	13	21	3.593793	3.0	5.8434083432184325
s__2-01-FULL-33-17_sp001786995--GB_GCA_001786995.1	5	0	4	9			
s__2-01-FULL-37-20_sp001784115--GB_GCA_001784115.1	1	9	1	11	0.982227	5.0	11.199040547653444
s__2-01-FULL-38-21_sp001782085--GB_GCA_001782085.1	7	0	3	10	0.749358	2.0	13.344756444850125
s__2-01-FULL-39-21_sp001792305--GB_GCA_001792305.1	9	0	3	12	0.850044	2.0	14.116916300803252
s__2-01-FULL-39-21_sp001792535--GB_GCA_001792535.1	12	3	0	15	1.074609	6.0	13.958565394483017
s__2-01-FULL-39-24_sp001789445--GB_GCA_001789445.1	8	3	3	14	0.838272	4.0	16.70102305695526
s__2-01-FULL-39-28_sp001794635--GB_GCA_001794635.1	5	0	0	5	0.815413	3.0	6.1318620134827375
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	1	0	0	1	1.009588	5.0	0.990503056692433
s__2-01-FULL-39-33_sp001817505--GB_GCA_001817505.1	0	0	1	1	0.965996	2.0	1.0352009739170762
s__2-01-FULL-39-33_sp002773855--GB_GCA_002773855.1	0	0	1	1	0.908086	2.0	1.1012172855874884
s__2-01-FULL-40-13_sp001788015--GB_GCA_001788015.1	9	0	7	16	0.802195	2.0	19.945275151303612
s__2-01-FULL-40-13_sp001789635--GB_GCA_001789635.1	17	0	3	20	1.321726	2.0	15.131729269152608
s__2-01-FULL-40-13_sp001789645--GB_GCA_001789645.1	16	0	3	19	1.192998	2.0	15.926263078395772
s__2-01-FULL-40-13_sp001789695--GB_GCA_001789695.1	3	2	5	10	1.136135	5.0	8.801770916308362
s__2-01-FULL-40-13_sp001789745--GB_GCA_001789745.1	8	0	3	11	1.037374	2.0	10.603697412890625
s__2-01-FULL-40-24_sp001776975--GB_GCA_001776975.1	3	0	2	5	0.685375	2.0	7.295276308590188
s__2-01-FULL-41-14_sp001767855--GB_GCA_001767855.1	3	0	0	3	0.962719	5.0	3.116174086104045
s__2-01-FULL-41-18_sp001772615--GB_GCA_001772615.1	4	0	0	4	0.985345	2.0	4.059491853107287
s__2-01-FULL-41-22_sp001789805--GB_GCA_001789805.1	8	0	5	13	0.750803	2.0	17.314794959529998
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	1	1	0	2	0.713072	6.0	2.804765858146162
s__2-01-FULL-42-20_sp001785965--GB_GCA_001785965.1	8	0	1	9	0.697429	2.0	12.904539386804966
s__2-01-FULL-43-14_sp001816835--GB_GCA_001816835.1	3	0	7	10	0.716521	2.0	13.956325076306207
s__2-01-FULL-43-22_sp001794435--GB_GCA_001794435.1	1	0	0	1	0.861746	2.0	1.160434745272969
s__2-01-FULL-43-22_sp001795615--GB_GCA_001795615.1	1	0	3	4	0.756253	2.0	5.289235216256993
s__2-01-FULL-43-38_sp000997105--GB_GCA_000997105.1	4	6	1	11	0.850234	3.0	12.937614821331538
s__2-01-FULL-44-21_sp001777655--GB_GCA_001777655.1	6	0	2	8	0.776513	2.0	10.302467569763802
s__2-01-FULL-44-22_sp001795975--GB_GCA_001795975.1	0	0	1	1	0.584846	3.0	1.7098518242409113
s__2-01-FULL-45-10_sp001804065--GB_GCA_001804065.1	3	4	4	11	1.312468	4.0	8.381156721535307
s__2-01-FULL-45-33_sp001778595--GB_GCA_001778595.1	3	0	0	3	0.814835	2.0	3.6817269753999278
s__2-01-FULL-45-33_sp001778875--GB_GCA_001778875.1	4	0	1	5	0.757524	4.0	6.600450942808413
s__2-01-FULL-46-13_sp001778545--GB_GCA_001778545.1	1	6	3	10	0.536323	4.0	18.645480428771467
s__2-01-FULL-46-13_sp001778905--GB_GCA_001778905.1	8	3	0	11	0.699563	4.0	15.724102046563354
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	7	4	1	12	0.760864	6.0	15.771543929007024
s__2-01-FULL-46-14_sp001777515--GB_GCA_001777515.1	0	1	0	1	0.880149	7.0	1.1361712619113356
s__2-01-FULL-48-14_sp001822835--GB_GCA_001822835.1	1	0	0	1	0.865335	2.0	1.1556218112060648
s__2-01-FULL-49-10_sp001771275--GB_GCA_001771275.1	1	0	3	4	0.656967	2.0	6.088585880264914
s__2-01-FULL-49-22_sp001788565--GB_GCA_001788565.1	2	0	0	2	0.664287	2.0	3.0107468609200545
s__2-01-FULL-50-23_sp001774555--GB_GCA_001774555.1	1	0	1	2	0.729379	2.0	2.742058655376697
s__2-01-FULL-50-28_sp001816585--GB_GCA_001816585.1	7	0	1	8	1.214076	2.0	6.589373317650625
s__2-01-FULL-51-21_sp001781435--GB_GCA_001781435.1	1	0	0	1	0.533142	2.0	1.8756728976520327
s__2-01-FULL-51-34_sp001820785--GB_GCA_001820785.1	0	1	0	1	1.178636	4.0	0.8484383643465837
s__2-01-FULL-52-15_sp001818365--GB_GCA_001818365.1	1	0	2	3	0.860072	2.0	3.4880800677152615
s__2-01-FULL-53-15_sp001772335--GB_GCA_001772335.1	5	0	2	7	1.512343	2.0	4.628579627769627
s__2-01-FULL-58-14_sp001824745--GB_GCA_001824745.1	0	0	1	1	0.783495	2.0	1.276332331412453
s__2-01-FULL-64-13_sp001800095--GB_GCA_001800095.1	2	0	0	2	1.528275	2.0	1.308664998118794
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	15	0	6	21	1.942096	2.0	10.813059704566612
s__2-02-FULL-37-13_sp001782195--GB_GCA_001782195.1	4	1	1	6	0.968853	3.0	6.192889943056377
s__2-02-FULL-38-14-A_sp001790855--GB_GCA_001790855.1	4	7	1	12	2.62529	4.0	4.5709235932030365
s__2-02-FULL-38-14_sp001772865--GB_GCA_001772865.1	2	3	0	5	0.9411	4.0	5.312931675698651
s__2-02-FULL-38-15-A_sp001797335--GB_GCA_001797335.1	6	3	0	9	1.879482	5.0	4.788553441852596
s__2-02-FULL-38-15_sp001777055--GB_GCA_001777055.1	14	0	0	14	0.830245	2.0	16.862492396822624
s__2-02-FULL-39-13_sp002782365--GB_GCA_002782365.1	1	2	0	3	0.705938	5.0	4.249664984743703
s__2-02-FULL-39-32_sp001800135--GB_GCA_001800135.1	18	2	0	20	2.50474	4.0	7.984860704105017
s__2-02-FULL-40-12_sp001824375--GB_GCA_001824375.1	0	0	1	1	0.478164	5.0	2.091332680837537
s__2-02-FULL-42-43_sp001801425--GB_GCA_001801425.1	19	3	0	22	1.85042	5.0	11.889192723814054
s__2-02-FULL-42-43_sp001802455--GB_GCA_001802455.1	21	0	0	21	1.591911	2.0	13.191692249126993
s__2-02-FULL-42-43_sp002793195--GB_GCA_002793195.1	2	0	0	2	1.962371	3.0	1.0191752731771921
s__2-02-FULL-43-11-A_sp001789515--GB_GCA_001789515.1	6	0	8	14	0.708812	2.0	19.75135861131019
s__2-02-FULL-43-11_sp001820955--GB_GCA_001820955.1	0	0	1	1	0.920131	4.0	1.0868017706174447
s__2-02-FULL-43-16_sp001821935--GB_GCA_001821935.1	2	0	2	4	0.790665	3.0	5.059032586493648
s__2-02-FULL-44-16_sp001798185--GB_GCA_001798185.1	16	0	2	18	1.977829	2.0	9.100887892734912
s__2-02-FULL-44-35_sp001822695--GB_GCA_001822695.1	4	0	1	5	0.583801	2.0	8.56456223953025
s__2-02-FULL-45-18_sp001774075--GB_GCA_001774075.1	1	2	0	3	0.654207	5.0	4.585704524714655
s__2-02-FULL-45-21_sp001805845--GB_GCA_001805845.1	4	2	1	7	0.865632	3.0	8.086577206018262
s__2-02-FULL-45-22_sp001796285--GB_GCA_001796285.1	1	1	0	2	1.542182	6.0	1.2968637942862775
s__2-02-FULL-47-50_sp001801885--GB_GCA_001801885.1	0	6	14	20	1.437724	4.0	13.910875800918674
s__2-02-FULL-48-11_sp001805615--GB_GCA_001805615.1	1	0	5	6	2.012934	2.0	2.9807236600901965
s__2-02-FULL-48-14_sp001787475--GB_GCA_001787475.1	8	0	8	16	0.72629	2.0	22.029767723636564
s__2-02-FULL-48-16_sp001821135--GB_GCA_001821135.1	8	4	0	12	0.665768	5.0	18.024296752021726
s__2-02-FULL-49-12_sp001796315--GB_GCA_001796315.1	1	4	0	5	1.214877	10.0	4.115642982787558
s__2-02-FULL-49-16_sp001788955--GB_GCA_001788955.1	7	0	3	10	0.917216	2.0	10.902557303841188
s__2-02-FULL-50-16-A_sp001828605--GB_GCA_001828605.1	1	6	1	8	1.801149	5.0	4.441609217227448
s__2-02-FULL-50-16_sp001798715--GB_GCA_001798715.1	1	5	0	6	1.706382	4.0	3.5162114930888864
s__2-02-FULL-50-9b_sp001782975--GB_GCA_001782975.1	0	0	6	6	0.660717	2.0	9.081043775171517
s__2-02-FULL-51-10_sp001788965--GB_GCA_001788965.1	7	1	0	8	1.183743	3.0	6.758223702273213
s__2-02-FULL-52-16_sp001787535--GB_GCA_001787535.1	2	0	1	3	0.968079	2.0	3.0989206459390193
s__2-02-FULL-53-10_sp001791035--GB_GCA_001791035.1	1	0	0	1	0.898202	2.0	1.1133353076479455
s__2-02-FULL-55-14_sp001802945--GB_GCA_001802945.1	1	10	6	17	3.137134	6.0	5.418958833126031
s__2-02-FULL-58-16_sp001830425--GB_GCA_001830425.1	37	0	1	38	2.729753	2.0	13.92067340891282
s__2-02-FULL-62-14_sp001805245--GB_GCA_001805245.1	10	0	8	18	2.273558	2.0	7.9171061393639395
s__2-02-FULL-62-14_sp009692155--GB_GCA_009692155.1	7	0	10	17	1.187655	2.0	14.313921130294574
s__2-02-FULL-62-14_sp020028595--GB_GCA_020028595.1	1	0	3	4	1.738526	3.0	2.3007996429158952
s__2-02-FULL-63-19_sp001770415--GB_GCA_001770415.1	15	0	46	61	4.653029	2.0	13.109739913505804
s__2-02-FULL-63-19_sp001770425--GB_GCA_001770425.1	9	12	37	58	3.589208	3.0	16.159553862579152
s__2-02-FULL-66-14_sp001771975--GB_GCA_001771975.1	11	0	43	54	2.431579	2.0	22.207791727104073
s__2-02-FULL-66-14_sp004298295--GB_GCA_004298295.1	6	0	25	31	2.337415	2.0	13.26251435881091
s__2-02-FULL-66-22_sp001771285--GB_GCA_001771285.1	43	0	19	62	4.348215	2.0	14.25872455708837
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	4	40	17	61	3.417936	5.0	17.847028147981707
s__2-02-FULL-66-22_sp016208645--GB_GCA_016208645.1	16	0	32	48	3.198925	2.0	15.005040755878928
s__2-12-FULL-35-15_sp005772895--GB_GCA_005772895.1	3	0	0	3	3.252329	2.0	0.9224159056479219
s__2-12-FULL-35-15_sp903847205--GB_GCA_903847205.1	4	2	2	8	5.494609	3.0	1.4559725723886814
s__2-12-FULL-35-15_sp903870175--GB_GCA_903870175.1	11	14	4	29	2.734512	6.0	10.605182935748681
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	8	0	7	15	5.625656	2.0	2.666355710338492
s__2-12-FULL-35-15_sp903911435--GB_GCA_903911435.1	5	9	8	22	3.784284	8.0	5.813517167316195
s__2-12-FULL-35-15_sp903919535--GB_GCA_903919535.1	7	0	3	10	3.865947	2.0	2.586688332768142
s__2-12-FULL-35-15_sp903926385--GB_GCA_903926385.1	12	0	1	13	4.259947	5.0	3.0516811594134854
s__2-12-FULL-36-22_sp018660415--GB_GCA_018660415.1	2	0	0	2	1.046758	2.0	1.9106612989821905
s__2-12-FULL-37-11_sp001776865--GB_GCA_001776865.1	9	4	5	18	0.969723	3.0	18.56200172626616
s__2-12-FULL-37-12_sp001769655--GB_GCA_001769655.1	19	0	5	24	3.55638	2.0	6.748435206586473
s__2-12-FULL-37-7b_sp001788095--GB_GCA_001788095.1	2	0	2	4	0.978947	6.0	4.086023043126952
s__2-12-FULL-39-13_sp001824485--GB_GCA_001824485.1	2	5	20	27	1.650346	4.0	16.36020567808205
s__2-12-FULL-40-28_sp001798135--GB_GCA_001798135.1	44	0	0	44	2.15634	4.0	20.40494541677101
s__2-12-FULL-41-16_sp001782805--GB_GCA_001782805.1	0	1	0	1	0.9923	3.0	1.007759750075582
s__2-12-FULL-41-17_sp001774945--GB_GCA_001774945.1	5	6	10	21	0.836061	3.0	25.117784467879734
s__2-12-FULL-43-12_sp001783065--GB_GCA_001783065.1	2	0	0	2	0.950365	4.0	2.1044546042836174
s__2-12-FULL-45-10_sp001777995--GB_GCA_001777995.1	1	0	2	3	0.847374	3.0	3.5403493616750104
s__2-12-FULL-52-36_sp001828545--GB_GCA_001828545.1	3	0	8	11	1.249585	2.0	8.802922570293338
s__2-12-FULL-53-21_sp020027805--GB_GCA_020027805.1	4	0	0	4	2.347976	2.0	1.7035949260128722
s__2-12-FULL-55-11_sp001787585--GB_GCA_001787585.1	7	2	2	11	1.126856	3.0	9.761673186281122
s__2-12-FULL-55-11_sp001788925--GB_GCA_001788925.1	8	0	2	10	1.113564	2.0	8.980175364864525
