gtdb_species_clade_id	all_core	all_singleton	all_accessory	all_gene_clusters
s__AAA044-D11_sp002367715--GB_GCA_002367715.1	815	893	0	1708
s__AK92_sp003399765--RS_GCF_003399765.1	4131	1631	0	5762
s__14-2_sp011960065--GB_GCA_910575555.1	2967	3361	2861	9189
s__Acetatifactor_sp910585615--GB_GCA_910585615.1	2600	1992	1154	5746
s__AV133_sp003219265--GB_GCA_003219265.1	959	2328	872	4159
s__Acetatifactor_sp023665475--GB_GCA_023665475.1	2673	140	137	2950
s__2-12-FULL-37-11_sp001776865--GB_GCA_001776865.1	752	403	280	1435
s__2-02-FULL-42-43_sp002793195--GB_GCA_002793195.1	1775	278	113	2166
s__46-47_sp003644575--GB_GCA_021157965.1	1299	1152	0	2451
s__2-02-FULL-48-14_sp001787475--GB_GCA_001787475.1	468	738	0	1206
s__2-01-FULL-40-13_sp001788015--GB_GCA_001788015.1	692	831	0	1523
s__1XD42-69_sp910586725--GB_GCA_910586725.1	2144	848	0	2992
s__2-12-FULL-55-11_sp943354555--GB_GCA_943354555.1	891	457	0	1348
s__AV69_sp003219925--GB_GCA_003219925.1	948	2459	0	3407
s__40CM-4-65-16_sp005889135--GB_GCA_005889135.1	1467	2235	1313	5015
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1	2574	2459	1966	6999
s__Acetatifactor_sp023663725--GB_GCA_023663725.1	2967	665	0	3632
s__2-12-FULL-57-22_sp001798455--GB_GCA_001798455.1	1383	2534	0	3917
s__AC-67_sp005883175--GB_GCA_005883175.1	919	3026	0	3945
s__AC2028_sp017469945--GB_GCA_017469945.1	1268	1175	729	3172
s__41T-STBD-0c-01a_sp020445255--GB_GCA_020445255.1	1773	596	1773	4142
s__AER2-1_sp016000045--GB_GCA_016000045.1	1137	165	0	1302
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1	2500	5232	0	7732
s__ARS1301_sp017609205--GB_GCA_017609205.1	570	143	0	713
