genome_id	biome_id	species_id	lineage	length	n_contigs	gc_content	completeness	contamination	genome_type	is_species_rep	country	continent	AA	CB	CE	CL	GH	GT	PL	total_cazy	cazy_density	gtdb_phylum
MGYG000000001	human-gut	MGYG000000001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365	3221717	129	28.24	98.59	0.7	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	20.0	15.0	0.0	36.0	11.174165825241634	Firmicutes_A
MGYG000000002	human-gut	MGYG000000002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	4441003	71	42.53	99.37	0.0	Isolate	True	United Kingdom	Europe	0.0	4.0	0.0	0.0	32.0	21.0	0.0	57.0	12.834938413687178	Firmicutes_A
MGYG000000003	human-gut	MGYG000000003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	3234232	18	58.43	100.0	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	2.0	0.0	27.0	15.0	5.0	50.0	15.459620707481715	Bacteroidota
MGYG000000004	human-gut	MGYG000000004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	3707250	71	54.07	98.66	0.22	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	9.0	6.0	0.0	16.0	4.31586755681435	Firmicutes_A
MGYG000000005	human-gut	MGYG000000005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A	3932530	22	28.57	99.3	0.0	Isolate	True	United Kingdom	Europe	0.0	4.0	0.0	0.0	10.0	16.0	0.0	30.0	7.628676704309949	Firmicutes_A
MGYG000000006	human-gut	MGYG000000006	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	2823639	31	32.64	99.26	1.39	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	5.0	13.0	0.0	20.0	7.083058422128325	Firmicutes
MGYG000000007	human-gut	MGYG000000007	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	2017471	17	35.49	98.94	0.0	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	9.0	12.0	0.0	23.0	11.40041170356352	Firmicutes
MGYG000000008	human-gut	MGYG000000008	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	1972012	39	34.34	99.22	0.78	Isolate	True	United Kingdom	Europe	0.0	0.0	0.0	0.0	8.0	15.0	0.0	23.0	11.663215031145855	Firmicutes
MGYG000000009	human-gut	MGYG000000009	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus	2221226	144	39.77	99.21	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	13.0	15.0	0.0	31.0	13.95625658982922	Firmicutes
MGYG000000010	human-gut	MGYG000000010	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus	2726916	55	31.82	99.45	1.66	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	9.0	19.0	0.0	30.0	11.00143898821966	Firmicutes
MGYG000000011	human-gut	MGYG000000011	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	2927652	12	32.39	99.44	1.39	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	5.0	12.0	0.0	19.0	6.489842371975904	Firmicutes
MGYG000000012	human-gut	MGYG000000012	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	4055810	14	43.85	99.81	0.2	Isolate	True	United Kingdom	Europe	0.0	6.0	1.0	0.0	27.0	25.0	2.0	61.0	15.04015227537779	Firmicutes
MGYG000000013	human-gut	MGYG000000013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375	6374953	29	42.1	99.08	0.08	Isolate	True	United Kingdom	Europe	0.0	2.0	1.0	0.0	107.0	21.0	10.0	141.0	22.11781012346287	Bacteroidota
MGYG000000014	human-gut	MGYG000000014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	4567291	63	28.5	99.19	0.0	Isolate	True	United Kingdom	Europe	0.0	7.0	0.0	0.0	49.0	24.0	0.0	80.0	17.51585348951928	Firmicutes_A
MGYG000000015	human-gut	MGYG000000015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	4889793	29	55.2	98.78	0.1	Isolate	True	United Kingdom	Europe	1.0	6.0	2.0	0.0	46.0	42.0	0.0	97.0	19.83724055394574	Proteobacteria
MGYG000000016	human-gut	MGYG000000016	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995	2569277	41	45.29	97.32	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	9.0	9.0	1.0	20.0	7.784291067097865	Firmicutes_A
MGYG000000017	human-gut	MGYG000000017	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275	2178650	30	59.56	100.0	0.81	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	8.0	15.0	0.0	24.0	11.015996144401349	Actinobacteriota
MGYG000000018	human-gut	MGYG000000018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	3285306	14	43.14	99.33	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	27.0	13.0	1.0	44.0	13.392968569746625	Firmicutes_A
