gtdb_species_clade_id,total_clusters,annotated_clusters,cog_annotated_clusters,cog_fraction,any_anno_fraction,species_lifestyle,phylum
s__Streptococcus_anginosus--RS_GCF_900636475.1,10737,7556,6349,0.5913197354940859,0.7037347489987892,host_associated,p__Bacillota
s__Acinetobacter_towneri--RS_GCF_000368785.1,13619,9430,7557,0.554886555547397,0.6924150084440854,host_associated,p__Pseudomonadota
s__Gordonibacter_urolithinfaciens--RS_GCF_900199375.1,7939,4922,4524,0.5698450686484444,0.6199773271192845,host_associated,p__Actinomycetota
s__UBA2262_sp903869265--GB_GCA_903869265.1,4055,2769,2636,0.6500616522811344,0.6828606658446362,free_living,p__Desulfobacterota
s__Ruminococcus_sp002438605--GB_GCA_002438605.1,4827,3171,2887,0.5980940542780194,0.6569297700435053,host_associated,p__Bacillota_A
s__Streptococcus_equi--GB_GCA_900637675.1,17743,8000,6875,0.38747675139491633,0.4508820379868117,host_associated,p__Bacillota
s__Nitrospira_A_sp900170025--RS_GCF_900170025.1,16835,6734,6397,0.37998217998218,0.4,free_living,p__Nitrospirota
s__UBA1723_sp002371265--GB_GCA_002371265.1,8332,4131,3752,0.45031204992798846,0.4957993278924628,host_associated,p__Bacteroidota
s__Macrococcus_B_caseolyticus--RS_GCF_002902665.1,8113,4903,4474,0.5514606187600148,0.6043387156415629,host_associated,p__Bacillota
s__Nitrosopumilus_sp018674605--GB_GCA_018674605.1,3594,2069,1676,0.46633277685030605,0.5756816917084029,free_living,p__Thermoproteota
s__Clostridium_H_botulinum_B--RS_GCF_000204565.1,5322,3685,3161,0.5939496429913567,0.6924088688462984,host_associated,p__Bacillota_A
s__Streptococcus_pyogenes--RS_GCF_002055535.1,22629,8923,7934,0.3506120464890185,0.3943170268239869,host_associated,p__Bacillota
s__Blautia_A_caecimuris--RS_GCF_024622975.1,8111,6500,5937,0.7319689310812477,0.8013808408334361,host_associated,p__Bacillota_A
s__ISDg_sp902787715--GB_GCA_902787715.1,6614,3426,3273,0.49485938917447836,0.5179921378893256,host_associated,p__Bacillota_A
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,9639,4542,4011,0.41612200435729846,0.47121070650482416,host_associated,p__Bacteroidota
s__Pseudomonas_E_juntendi--RS_GCF_009932375.1,23103,14684,12379,0.535817859152491,0.6355884517162274,host_associated,p__Pseudomonadota
s__Butyrivibrio_sp015258065--GB_GCA_015258065.1,7265,4199,3971,0.5465932553337921,0.5779766001376463,host_associated,p__Bacillota_A
s__Streptococcus_pneumoniae--RS_GCF_001457635.1,116845,31691,26484,0.22665924943300955,0.2712225598014464,host_associated,p__Bacillota
s__HTCC2207_sp001438605--GB_GCA_001438605.1,4692,3210,3134,0.6679454390451833,0.6841432225063938,free_living,p__Pseudomonadota
s__Brevundimonas_aurantiaca--RS_GCF_014199955.1,8673,5953,5400,0.6226219301279834,0.6863830277873861,free_living,p__Pseudomonadota
s__Ureaplasma_parvum--RS_GCF_000019345.1,1013,600,556,0.5488647581441264,0.5923000987166831,host_associated,p__Bacillota
s__Streptomyces_griseus--RS_GCF_900460065.1,13682,9981,8604,0.628855430492618,0.7294986113141354,free_living,p__Actinomycetota
s__Brachyspira_hyodysenteriae--RS_GCF_001676785.2,6638,3104,2926,0.4407954203073215,0.467610726122326,host_associated,p__Spirochaetota
s__Listeria_seeligeri--RS_GCF_000027145.1,11450,6603,5582,0.4875109170305677,0.5766812227074236,free_living,p__Bacillota
s__Allorhizobium_vitis--RS_GCF_001541345.2,9597,7798,7104,0.7402313222882151,0.812545587162655,host_associated,p__Pseudomonadota
s__Erwinia_rhapontici--RS_GCF_012271765.1,9614,7393,6727,0.6997087580611608,0.768982733513626,host_associated,p__Pseudomonadota
s__Thioalkalivibrio_halophilus--RS_GCF_001995255.1,5589,4369,4027,0.7205224548219717,0.7817140812309894,free_living,p__Pseudomonadota
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,78755,38495,32744,0.4157704272744588,0.4887943622627135,host_associated,p__Pseudomonadota
s__Cryptobacteroides_sp900544195--GB_GCA_900544195.1,6000,3464,3189,0.5315,0.5773333333333334,host_associated,p__Bacteroidota
s__NSJ-61_sp003433845--RS_GCF_014337235.1,8131,5794,5205,0.6401426638789817,0.7125814782929529,host_associated,p__Bacillota
s__Cryptobacteroides_sp004556005--GB_GCA_004556005.1,4333,2626,2542,0.5866605123471036,0.60604661897069,host_associated,p__Bacteroidota
s__CAIXEA01_sp903895595--GB_GCA_903895595.1,10570,6521,6267,0.5929044465468306,0.6169347209082309,free_living,p__Pseudomonadota
s__Eubacterium_R_faecale--GB_GCA_000431535.1,4831,3064,2829,0.5855930449182364,0.6342372179672946,host_associated,p__Bacillota_A
s__Veillonella_atypica--RS_GCF_002959915.1,8517,4946,4561,0.535517200892333,0.5807209111189386,host_associated,p__Bacillota_C
s__Acinetobacter_modestus--RS_GCF_014636095.1,7333,5994,4603,0.627710350470476,0.8174007909450429,host_associated,p__Pseudomonadota
s__UBA1539_sp002788135--GB_GCA_002788135.1,1309,556,539,0.4117647058823529,0.4247517188693659,free_living,p__Patescibacteria
s__Paenibacillus_cellulositrophicus_A--RS_GCF_009363095.1,14716,10284,9381,0.6374694210383256,0.6988312041315575,free_living,p__Bacillota
s__Pseudomonas_E_siliginis--RS_GCF_019145195.1,9909,7902,6790,0.6852356443637098,0.7974568574023615,host_associated,p__Pseudomonadota
s__Schaedlerella_arabinosiphila--RS_GCF_003885045.1,12756,10117,8728,0.6842270304170587,0.7931169645656946,host_associated,p__Bacillota_A
s__Schaedlerella_glycyrrhizinilytica_A--RS_GCF_015560805.1,7320,5535,5018,0.6855191256830601,0.7561475409836066,host_associated,p__Bacillota_A
s__Listeria_innocua--RS_GCF_024721565.1,10152,6645,5584,0.5500394011032309,0.6545508274231678,free_living,p__Bacillota
s__Novosphingobium_acidiphilum--RS_GCF_000429005.1,11326,6513,6156,0.5435281652834186,0.5750485608334804,free_living,p__Pseudomonadota
s__Staphylococcus_capitis--RS_GCF_002902325.1,14056,6589,5677,0.4038844621513944,0.4687677859988617,host_associated,p__Bacillota
s__MGIIb-O1_sp002502175--GB_GCA_002502175.1,3119,1262,1230,0.39435716575825586,0.40461686437960886,free_living,p__Thermoplasmatota
s__Sulfurimonas_sp002781365--GB_GCA_002781365.1,2817,2218,2021,0.7174298899538516,0.787362442314519,free_living,p__Campylobacterota
s__TCS55_sp018647265--GB_GCA_018647265.1,4841,2970,2861,0.5909935963643875,0.6135096054534187,free_living,p__Marinisomatota
s__Staphylococcus_gallinarum--RS_GCF_000875895.1,8210,4790,4305,0.5243605359317906,0.5834348355663824,host_associated,p__Bacillota
s__Streptomyces_sp000177195--RS_GCF_000177195.2,10683,8464,7267,0.680239633061874,0.7922868108209304,host_associated,p__Actinomycetota
s__Rhodococcus_sp000686025--RS_GCF_000686025.1,7637,6406,5779,0.7567107502946183,0.8388110514599973,host_associated,p__Actinomycetota
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,16437,7588,6455,0.39271156537080976,0.46164141875038023,host_associated,p__Actinomycetota
s__UBA1217_sp902788805--GB_GCA_902788805.1,8943,3994,3659,0.4091468187409147,0.44660628424466065,host_associated,p__Bacteroidota
s__CAIVUX01_sp903909215--GB_GCA_903909215.1,5114,2997,2935,0.5739147438404381,0.5860383261634728,free_living,p__Pseudomonadota
s__PALSA-747_sp903852585--GB_GCA_903852585.1,3345,2167,2126,0.635575485799701,0.6478325859491779,free_living,p__Actinomycetota
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,51357,13663,12589,0.24512724652919757,0.2660396830032907,host_associated,p__Campylobacterota
s__Marinobacter_salarius--GB_GCA_000831005.1,13471,9233,8363,0.6208150842550665,0.6853982629351941,free_living,p__Pseudomonadota
s__Pseudomonas_E_helleri--RS_GCF_001043025.1,17818,11739,10295,0.5777865080255921,0.6588281513076664,host_associated,p__Pseudomonadota
s__Bacillus_A_anthracis--RS_GCF_000742895.1,49533,22907,19692,0.397553146387257,0.462459370520663,host_associated,p__Bacillota
